node,q_rpt_start_ah,q_rpt_end_ah,capacity_ah,soh_initial_pct,soh_nominal_pct,mode,start_time_s,end_time_s,diagnostic_duration_s,changed_main_state,main_state_hash_before,main_state_hash_after,main_time_before_s,main_time_after_s,main_capacity_before_ah,main_capacity_after_ah,became_q_ref,output_schema_version,next_step5_target_ah,next_window_target_ah,planned_udds_remaining_ah
0,-3.902308896055207,0.9663308247013785,4.868639720756586,100.0,100.38432413931106,virtual,0.0,81240.88165407976,81240.88165407976,False,163796434bae0dba4bacfa52e9b943cec89b92ef127644cba72eeac64de5b389,163796434bae0dba4bacfa52e9b943cec89b92ef127644cba72eeac64de5b389,0.0,0.0,0.0,0.0,True,3,0.9737279441513172,3.894911776605269,2.9211838324539516
25,-3.901956660797238,0.9574804995693152,4.859437160366554,99.81098292504991,100.19458062611452,virtual,777791.3149683548,858950.680073608,81159.36510525318,False,fd62de3fe62be7efa40c31ef63404941849689db57908fd6ce4748077dc3140b,fd62de3fe62be7efa40c31ef63404941849689db57908fd6ce4748077dc3140b,777791.3149683548,777791.3149683548,-0.006657351992719754,-0.006657351992719754,True,3,0.9718874320733107,3.887549728293243,2.9156622962199323
75,-3.9025347779077073,0.947085295986956,4.8496200738946635,99.60934371913298,99.99216647205492,virtual,2344081.5751418984,2425195.2976790853,81113.72253718693,False,09fe9e57713bb124f6f233683b431779ba22a96f33a3c55e83a974ba1cdf3cb9,09fe9e57713bb124f6f233683b431779ba22a96f33a3c55e83a974ba1cdf3cb9,2344081.5751418984,2344081.5751418984,-0.01421587904561141,-0.01421587904561141,True,3,0.9699240147789328,3.879696059115731,2.9097720443367985
