node,q_rpt_start_ah,q_rpt_end_ah,capacity_ah,soh_initial_pct,soh_nominal_pct,mode,start_time_s,end_time_s,diagnostic_duration_s,changed_main_state,main_state_hash_before,main_state_hash_after,main_time_before_s,main_time_after_s,main_capacity_before_ah,main_capacity_after_ah,became_q_ref,output_schema_version,next_step5_target_ah,next_window_target_ah,planned_udds_remaining_ah
0,-3.902200821218747,0.9663072216351437,4.8685080428538905,100.0,100.38160913100806,virtual,0.0,81243.95369834438,81243.95369834438,False,163796434bae0dba4bacfa52e9b943cec89b92ef127644cba72eeac64de5b389,163796434bae0dba4bacfa52e9b943cec89b92ef127644cba72eeac64de5b389,0.0,0.0,0.0,0.0,True,3,0.9737016085707781,3.8948064342831126,2.9211048257123347
25,-3.901874331365674,0.9566286886846237,4.858503020050297,99.79449509550922,100.17532000103706,virtual,777952.628970796,859106.4412871228,81153.81231632677,False,5630cc686b3c098be7dd5ded7c2914722f4c9761f9d8c758078756d33f4dc59b,5630cc686b3c098be7dd5ded7c2914722f4c9761f9d8c758078756d33f4dc59b,777952.628970796,777952.628970796,-0.00673772305311296,-0.00673772305311296,True,3,0.9717006040100595,3.886802416040238,2.9151018120301786
75,-3.9024433200815043,0.9449539234017382,4.847397243483242,99.56638051771044,99.94633491718025,virtual,2343139.409312251,2424214.6014048653,81075.19209261425,False,372f970cfafecabeb2595d8f8ac42140759836c4a903d783d18cad1de3252da5,372f970cfafecabeb2595d8f8ac42140759836c4a903d783d18cad1de3252da5,2343139.409312251,2343139.409312251,-0.01508991393482962,-0.01508991393482962,True,3,0.9694794486966485,3.877917794786594,2.9084383460899454
