time_s,current_a
0.0,-0.0015204469735231102
1.0,0.0016447568160363724
2.0,0.0034283942089779807
3.0,0.0048088825241794746
4.0,-2.7295252209788968e-05
5.0,-0.026342637092829923
6.0,-0.05008728649838911
7.0,-0.0506750894729881
8.0,-0.05115201156853984
9.0,-0.05146527881297938
10.0,-0.0511492146946456
11.0,-0.05048246096411473
12.0,-0.05137526358251097
13.0,-0.052146191810016326
14.0,-0.05178111283845519
15.0,-0.05137874456070315
16.0,-0.04997911008746354
17.0,-0.0510765606230502
18.0,-0.04767354009495513
19.0,-0.02206542749255801
20.0,0.007737142023709854
21.0,0.09797643098029937
22.0,0.32720078978143213
23.0,0.6839705795020741
24.0,1.002766372477728
25.0,1.1573874944203444
26.0,1.3071833975148053
27.0,1.5628160999110705
28.0,1.7082641451821088
29.0,1.7817810410159245
30.0,1.8884669553750109
31.0,1.7458394440498919
32.0,1.3719179662445755
33.0,1.0136029875903223
34.0,0.7728178052603873
35.0,0.49880427126857235
36.0,0.14867172199691298
37.0,0.018847707412649697
38.0,0.040077594130474584
39.0,0.15905310776066625
40.0,0.48606303290578856
41.0,1.0074915434136251
42.0,1.5027204025440968
43.0,1.8413785700204235
44.0,2.12610984960849
45.0,2.229779756173649
46.0,2.1352593125102035
47.0,1.844539529236231
48.0,1.3634732341728564
49.0,0.6886654774898375
50.0,0.18015859372834037
51.0,-0.042171311882943374
52.0,-0.0717274496974277
53.0,0.2991697646288807
54.0,1.0056577721358153
55.0,1.7140031649417207
56.0,2.1949021662408157
57.0,2.3760236839402467
58.0,2.287214693612714
59.0,2.0605136063952467
60.0,1.78376604831713
61.0,1.536084602136865
62.0,1.3859220727709987
63.0,1.3173626262290614
64.0,1.2641912026667623
65.0,1.268425711692422
66.0,1.3085198358067094
67.0,1.3674503834781184
68.0,1.4576278019846707
69.0,1.532063009056704
70.0,1.5271580950143933
71.0,1.44144482588615
72.0,1.3296109194730314
73.0,1.2894598758572888
74.0,1.352677130967701
75.0,1.4454916321676856
76.0,1.5124489861087298
77.0,1.5814168593773834
78.0,1.6339726142278486
79.0,1.6797035567890566
80.0,1.8359501155673978
81.0,2.0080864648749794
82.0,2.060195018622432
83.0,1.9965736178435953
84.0,1.8772457079047042
85.0,1.6869832625724719
86.0,1.428545129805435
87.0,1.1785883834851112
88.0,1.005753688732569
89.0,0.900611076857136
90.0,0.9344988068620439
91.0,0.9539129056693607
92.0,0.8847008428725389
93.0,0.8307810872355943
94.0,0.8826008937539062
95.0,0.9907543696490843
96.0,1.1792230654731894
97.0,1.3667311379419744
98.0,1.439235045635919
99.0,1.2902378501290919
100.0,0.9819213560029081
101.0,0.7020068630715841
102.0,0.6760716277215174
103.0,0.8222178088062941
104.0,1.0445804154928027
105.0,1.3205815925646698
106.0,1.5339028523419622
107.0,1.5218968999670224
108.0,1.3591070780328158
109.0,1.0669396358335128
110.0,0.5650583056996371
111.0,-0.23621675755861252
112.0,-1.0299909940701888
113.0,-1.3233657282345623
114.0,-1.3231573384756516
115.0,-1.3235000114525952
116.0,-1.3236432149928963
117.0,-1.3207255774334012
118.0,-1.1740235256995992
119.0,-0.8038090119082639
120.0,-0.46355821922577134
121.0,-0.20417675433871957
122.0,-0.02374018905694908
123.0,0.007598270464446385
124.0,0.008736652434118754
125.0,0.007065661961263105
126.0,0.007305938231012475
127.0,0.007056991321555965
128.0,0.007902098368013168
129.0,0.009812524463986377
130.0,0.005355092077291075
131.0,0.005263626456903033
132.0,0.0058462030958786205
133.0,0.006129670216010949
134.0,0.004426250241503664
135.0,0.007345355548603895
136.0,0.007236287140229877
137.0,0.005359733798677506
138.0,0.008583923626459279
139.0,0.007688959498404375
140.0,0.0073128465977894625
141.0,0.00642845000905366
142.0,0.007451299965725148
143.0,0.006801200672023347
144.0,0.007931413896661025
145.0,0.006147768433712735
146.0,0.006119681276175723
147.0,0.00575933023479818
148.0,0.0031005649507918932
149.0,0.004475814617473934
150.0,0.008469589948827431
151.0,0.007442158532014284
152.0,0.005818827307231791
153.0,0.005770763621777239
154.0,0.006599003157126894
155.0,0.007415517606067359
156.0,0.010707744756536661
157.0,0.07066634442167664
158.0,0.2274420150330192
159.0,0.5071815800924078
160.0,0.9268585350612162
161.0,1.5268553858982554
162.0,2.0174367899886536
163.0,2.36618147918646
164.0,2.4892475594295496
165.0,2.4163966015189327
166.0,2.0279725363552745
167.0,1.5941028192648956
168.0,1.2592296482227447
169.0,1.1262168599135696
170.0,1.0726390178060694
171.0,1.2208046196525328
172.0,1.4589524148730513
173.0,1.65177706712004
174.0,1.436812064944295
175.0,0.9210765485680088
176.0,0.39922669572137287
177.0,-0.23801070840868005
178.0,-0.6950464910805546
179.0,-0.5414315460528065
180.0,-0.016253786300693768
181.0,0.6000472579091711
182.0,1.3613313481949143
183.0,2.038797135670448
184.0,2.546422688310595
185.0,3.1238836871732234
186.0,3.7590287975213466
187.0,4.209395734776452
188.0,4.4063163307616895
189.0,4.401011764119885
190.0,4.171394491750023
191.0,3.875304362194937
192.0,3.6623480060210127
193.0,3.6898115847184525
194.0,3.5963698722278865
195.0,3.422563152386602
196.0,3.1883289980775142
197.0,2.7146536529977174
198.0,2.0777650675357195
199.0,1.505247473745665
200.0,1.0925083754726501
201.0,0.7868506482622641
202.0,0.7180930866552485
203.0,0.8093070307198386
204.0,0.9187784789085648
205.0,1.1137767986606093
206.0,1.3041725910762618
207.0,1.597034631209094
208.0,1.9030667944117419
209.0,2.148523386146168
210.0,2.3434101007051154
211.0,2.4664563953418854
212.0,2.4646513213150643
213.0,2.4520801577205447
214.0,2.53854152188789
215.0,2.711437436622779
216.0,2.913391601609993
217.0,3.0624106201081007
218.0,3.0006414898021534
219.0,2.710960263560626
220.0,2.180393774631881
221.0,1.5763286050073995
222.0,1.33223761051131
223.0,1.3970207943072557
224.0,1.6168504291451586
225.0,2.009263986836937
226.0,2.317883041826245
227.0,2.4413576167031996
228.0,2.3902276888309735
229.0,2.3087408495774904
230.0,2.1272375224592546
231.0,1.8845360279685597
232.0,1.6575104886478018
233.0,1.5321570600935395
234.0,1.4584545684876824
235.0,1.4749099654897366
236.0,1.5625036911224013
237.0,1.52359263032387
238.0,1.3030271516969238
239.0,1.0176659024751324
240.0,0.6520884910094831
241.0,0.3140429955271105
242.0,0.14904280317197036
243.0,0.231844020158097
244.0,0.3247724210694732
245.0,0.6933887929434168
246.0,1.1522311511355483
247.0,1.415250530536197
248.0,1.543291029634604
249.0,1.5856669508382235
250.0,1.2714658124511757
251.0,0.8486461863770567
252.0,0.5691673756348011
253.0,0.323322485875939
254.0,0.4095687392173683
255.0,0.6122278768799279
256.0,0.7017476962473961
257.0,0.8464964764645809
258.0,0.9276403954507074
259.0,0.945359070405359
260.0,1.1878947644228848
261.0,1.4460753114054647
262.0,1.814284444789089
263.0,2.1583278259255847
264.0,2.392165614729682
265.0,2.579934974069128
266.0,2.7852017417648485
267.0,2.824360482350399
268.0,2.711580355366874
269.0,2.6008696913489566
270.0,2.1821483756655797
271.0,1.568062920049433
272.0,0.9301835397367938
273.0,0.34976260641291435
274.0,-0.2547295257034774
275.0,-0.6362059002413515
276.0,-0.5042837979363167
277.0,-0.08690330292518038
278.0,0.178997998174044
279.0,0.37790293808190695
280.0,0.6233316530222301
281.0,0.6794318245903539
282.0,0.5507194390789343
283.0,0.5944561946052422
284.0,0.796620782395321
285.0,0.812095974099575
286.0,0.729935579980029
287.0,0.6184976778612186
288.0,0.5088003865628923
289.0,0.23741149901156988
290.0,-0.08602610909466318
291.0,-0.4870467006353658
292.0,-0.7240059166745872
293.0,-1.0208915754571357
294.0,-1.132173278565046
295.0,-1.1675526248092944
296.0,-1.2661835076876027
297.0,-1.3220265999104999
298.0,-1.3233654762342921
299.0,-1.3229764255385736
300.0,-1.3229883540879073
301.0,-1.241160321559298
302.0,-0.911813494215818
303.0,-0.34164483869861356
304.0,-0.03679303991288731
305.0,-0.017335384503411037
306.0,-0.06573511200223145
307.0,-0.3635422589279861
308.0,-0.8480695595610322
309.0,-1.021949922536487
310.0,-0.9403833333182429
311.0,-0.6900269748214215
312.0,-0.3037381338830505
313.0,-0.08308470773694314
314.0,-0.19409356700995262
315.0,-0.36009618809528776
316.0,-0.5391909443981541
317.0,-0.5500616946220234
318.0,-0.38944798468485226
319.0,-0.21201072753548483
320.0,-0.10279152802482214
321.0,0.014084198699414834
322.0,0.035822792723456
323.0,0.008880407332641576
324.0,0.006613480528369484
325.0,0.00489765910285093
326.0,0.007023742563949311
327.0,0.007593794544377991
328.0,0.007943574371241954
329.0,0.007675924447834389
330.0,0.006669329152521596
331.0,0.013931918716422015
332.0,0.033741155793789245
333.0,0.14812781088879137
334.0,0.40160192774235076
335.0,0.7948454611642783
336.0,1.2975819184557837
337.0,1.8911917628877106
338.0,2.358696442538581
339.0,2.626112471317741
340.0,2.657813764406601
341.0,2.557871973627081
342.0,2.437500912954226
343.0,2.3881312100246284
344.0,2.383687143537885
345.0,2.3418643453029984
346.0,2.2327783922030453
347.0,2.0613557736529544
348.0,1.905364124252391
349.0,1.8254438207576358
350.0,1.7458227916423392
351.0,1.6246444925257109
352.0,1.407023543589033
353.0,1.134435180924722
354.0,1.0305457941190883
355.0,1.1362099625584647
356.0,1.1800309535170326
357.0,1.1735466918631887
358.0,1.1197912350311467
